_Glon,_Glat,_RAJ2000,_DEJ2000,Cl,Name,Vmag,z
deg,deg,deg,deg,,,mag,

186.4306,32.716071,125.225833,35.491111,Sy1,SDSS J08209+3529,16.6,0.065
216.543464,23.902301,125.83625,7.671944,Sy1,SDSS J08233+0740,15.77,0.064
183.644913,33.911495,126.13875,38.003611,Sy1,SDSS J08245+3800,16.37,0.103
188.573127,34.408224,127.689167,34.091667,Sy1,RXS J08307+3405,16.76,0.062
192.947468,33.922152,128.083333,30.455278,Sy1,SDSS J08323+3027,16.72,0.05
185.01355,35.30062,128.105417,37.126944,Sy1,CBS 74,16.37,0.092
196.913386,33.05935,128.115833,27.0375,Sy1,SDSS J08324+2702,16.87,0.067
196.723074,33.139008,128.152083,27.212778,Sy1,SDSS J08326+2712,16.87,0.095
195.338793,34.586021,129.38625,28.705,Sy1,SDSS J08375+2842,12.72,0.012
170.691978,37.598225,129.957083,48.783889,Sy1,NPM1G+48.0114,16.7,0.039
181.624801,37.293675,130.154583,40.104722,Sy1,SDSS J08406+4006,16.6,0.124
162.940941,37.569377,130.407917,54.918333,Sy1,SDSS J08416+5455,16.98,0.045
239.340018,17.277686,131.02875,-14.036667,Sy1,IRAS 08417-1351,15,0.028
162.710305,38.020854,131.222917,55.053889,Sy1,SDSS J08448+5503,16.88,0.026
186.529712,37.671962,131.264583,36.293056,Sy1,SDSS J08450+3617,16.65,0.076
233.776728,21.118988,131.292917,-7.534722,Sy1,MS 08427-0720,16.97,0.104
238.125609,18.774045,131.619167,-12.236111,Sy1,RXS J08464-1214,16.5,0.108
199.949498,35.703397,131.725417,25.370278,Sy1,HS 0843+2533,16.35,0.051
182.575009,38.599633,131.945833,39.493889,Sy1,SDSS J08477+3929,16.64,0.123
223.098564,28.771008,132.898333,4.690278,Sy1,SDSS J08515+0441,16.78,0.078
219.924197,30.40491,133.062917,7.893611,Sy1,MS 08495+0805,15.53,0.063
187.647595,39.169978,133.251667,35.641389,Sy1,SDSS J08530+3538,16.12,0.086
225.740788,27.923611,133.289583,2.246389,Sy1,SDSS J08531+0214,16.28,0.035
181.628338,39.750087,133.35875,40.323056,Sy1,SDSS J08534+4019,16.98,0.088
136.276359,33.109061,133.4975,77.015,Sy1,RXS J08539+7700,17,0.106
209.577678,34.943467,133.663333,17.689444,Sy1,MARK 1220,16.13,0.064
170.430615,40.25316,133.999583,48.897778,Sy1,SDSS J08559+4853,16.5,0.055
229.947443,26.617886,134.074583,-1.635278,Sy1,HE 0853-0126,16.75,0.06
228.672254,27.945546,134.61875,0.023333,Sy1,SDSS J08584+0001,16.6,0.028
189.204588,40.177005,134.677083,34.596944,Sy1,SDSS J08587+3435,16.96,0.126
173.284807,41.662507,135.907917,46.664444,Sy1,SDSS J09036+4639,16.24,0.039
161.466702,40.711552,136.15375,55.600556,Sy1,SDSS J09046+5536,16.73,0.037
173.329261,42.116347,136.565,46.605278,Sy1,SDSS J09062+4636,16.08,0.085
238.110996,25.272058,137.022083,-8.495833,Sy1,MS 09056-0817,16.75,0.071
192.238212,41.926626,137.16,32.592778,Sy1,SDSS J09086+3235,16.06,0.014
166.12092,42.15782,137.5275,51.912222,Sy1,SDSS J09101+5154,16.99,0.036
184.923545,43.378657,138.235,38.093611,Sy1,SDSS J09129+3805,16.21,0.045
171.700566,43.297324,138.441667,47.7,Sy1,MCG +08.17.060,16.48,0.052
169.030575,43.55149,139.19125,49.591944,Sy1,SDSS J09167+4935,16.37,0.081
213.823862,39.724124,139.608333,16.305556,Sy1,MARK 704,14.2,0.029
226.562989,35.032975,139.824583,5.164444,Sy1,SDSS J09192+0509,15.93,0.075
227.083163,35.731693,140.645,5.144167,Sy1,SDSS J09225+0508,15.28,0.059
222.512889,37.791751,140.702083,9.344167,Sy1,SDSS J09228+0920,16.59,0.093
206.055313,43.078811,140.929583,22.909167,Sy1,MCG +04.22.042,15.82,0.033
159.881582,43.316989,141.162083,56.129722,Sy1,SDSS J09246+5607,16.92,0.025
165.011009,44.363904,141.30375,52.286389,Sy1,MARK 110,16.41,0.035
219.048886,39.996595,141.51375,12.734167,Sy1,MARK 705,14.6,0.028
225.793262,37.361396,141.5575,6.848889,Sy1,SDSS J09262+0650,16.63,0.078
206.228039,43.902339,141.82625,23.02,Sy1,UGC 5037,16.25,0.025
229.831439,36.726917,142.637917,3.745278,Sy1,SDSS J09305+0344,16.12,0.091
162.531842,45.140419,143.287083,53.796667,Sy1,NPM1G+54.0074,16.6,0.057
200.78983,46.43826,143.526667,27.35,Sy1,MCG +05.23.016,16,0.044
225.466689,39.93541,143.707917,8.314167,Sy1,SDSS J09348+0818,16.33,0.048
202.391677,46.508603,143.862917,26.286111,Sy1,RXS J09354+2617,16.84,0.119
152.476074,42.896905,143.965417,61.353333,Sy1,UGC 5101,15.5,0.04
170.601264,47.037125,144.120417,47.914167,Sy1,SDSS J09364+4754,16,0.055
233.701279,36.663284,144.254583,1.095278,Sy1,MARK 707,16.64,0.051
187.401043,48.556019,144.821667,36.562222,Sy1,MCG +06.21.068,16.3,0.02
206.615061,47.347425,145.52,23.685278,Sy1,NPM1G+23.0202,16.18,0.022
163.252598,46.90649,145.87,52.803056,Sy1,SDSS J09434+5248,15.81,0.047
166.532556,47.685758,146.05,50.448889,Sy1,SDSS J09441+5026,16.16,0.076
225.627454,42.863091,146.372083,9.602778,Sy1,Zw 063.060,16.61,0.013
237.22571,37.91895,146.883333,-0.494444,Sy1,SDSS J09475-0029,16.13,0.084
228.5825,42.285872,146.937917,7.422222,Sy1,3C 227.0,16.95,0.086
179.23374,49.984109,146.98875,41.814722,Sy1,SDSS J09479+4148,16.7,0.074
187.336871,50.438445,147.165833,36.613611,Sy1,SDSS J09486+3636,15.57,0.05
166.174636,48.363646,147.1775,50.491944,Sy1,MARK 124,16.6,0.056
189.036523,50.967544,147.82125,35.5375,Sy1,SDSS J09512+3532,16.5,0.101
239.270229,38.217643,148.079583,-1.612222,Sy1,MARK 1239,14.39,0.019
235.850468,40.187605,148.115833,1.689167,Sy1,SDSS J09524+0141,15.33,0.074
230.709637,43.339511,148.655,6.621944,Sy1,SDSS J09546+0637,16.73,0.041
155.059384,46.549581,148.995417,58.143333,Sy1,SDSS J09559+5808,16.89,0.141
206.616858,50.887356,149.28,24.554444,Sy1,RXS J09571+2433,15.8,0.082
164.989809,49.915945,149.8825,50.747222,Sy1,SBS 0956+510,16.92,0.143
223.582089,47.585669,149.9825,13.044444,Sy1,NGC 3080,16.36,0.035
170.470886,51.365846,150.38,46.996389,Sy1,IRAS 09583+4714,16.3,0.086
247.518916,35.891499,150.500417,-8.161389,Sy1,IRAS 09595-0755,14.64,0.055
236.199322,42.947708,150.529167,3.0575,Sy1,SDSS J10021+0303,14.25,0.023
221.980662,49.39564,151.198333,14.779167,Sy1,MARK 715,15.8,0.082
249.567672,36.322582,151.960417,-9.078889,Sy1,RXS J10078-0904,15.6,0.067
254.651778,32.170318,152.011667,-14.984722,Sy1,RXS J10080-1459,16.2,0.056
185.623552,54.316923,152.079583,37.484167,Sy1,SDSS J10083+3729,15.33,0.052
250.517,35.914386,152.2025,-9.914167,Sy1,NPM1G-09.0361,15.9,0.058
185.308759,54.419801,152.22875,37.658056,Sy1,CSO 247,16.53,0.054
237.966699,44.203663,152.297917,2.7475,Sy1,SDSS J10091+0244,16.75,0.063
148.351004,45.841221,152.4775,62.513056,Sy1,SDSS J10099+6230,16.86,0.085
210.098636,53.444437,152.560833,23.109167,Sy1,MARK 716,16.5,0.057
163.752932,51.69199,152.949167,50.8325,Sy1,RXS J10117+5049,16.74,0.079
170.44623,53.204994,152.9575,46.483611,Sy1,SDSS J10118+4629,16.41,0.087
234.57376,46.95245,153.194167,6.267778,Sy1,SDSS J10127+0616,16.69,0.078
188.329524,55.377449,153.262917,35.856111,Sy1,TON 1187,15.42,0.079
254.049969,34.871029,153.548333,-12.678333,Sy1,CTS R04.08,16.07,0.068
